,,ohlc,ohlc,ohlc,ohlc
,,open,high,low,close
,timestamp,,,,
bfly,2021-02-24 00:00:00,48929.54,48929.54,47648.25,47817.29
bfly,2021-02-24 00:20:00,47500.0,47741.14,47086.89,47741.14
bfly,2021-02-24 00:40:00,48128.38,48191.14,48128.38,48191.14
bfly,2021-02-24 01:00:00,48934.14,48934.14,48798.7,48798.7
bfly,2021-02-24 01:20:00,49140.16,49140.16,49140.16,49140.16
bfly,2021-02-24 01:40:00,49777.91,50161.64,49777.91,50161.64
bfly,2021-02-24 02:00:00,49994.55,50513.79,49994.55,50136.78
bfly,2021-02-24 02:20:00,,,,
bfly,2021-02-24 02:40:00,,,,
bfly,2021-02-24 03:00:00,,,,
bfly,2021-02-24 03:20:00,,,,
bfly,2021-02-24 03:40:00,50948.0,50948.0,50948.0,50948.0
bfly,2021-02-24 04:00:00,51025.46,51025.46,51014.38,51014.38
bfly,2021-02-24 04:20:00,50736.28,50743.89,50736.28,50743.89
bfly,2021-02-24 04:40:00,,,,
bfly,2021-02-24 05:00:00,,,,
bfly,2021-02-24 05:20:00,,,,
bfly,2021-02-24 05:40:00,,,,
bfly,2021-02-24 06:00:00,50050.8,50050.8,49656.52,49656.52
bfly,2021-02-24 06:20:00,,,,
bfly,2021-02-24 06:40:00,49923.2,50018.9,49923.2,50018.9
bfly,2021-02-24 07:00:00,49680.1,49680.1,49680.1,49680.1
bfly,2021-02-24 07:20:00,,,,
bfly,2021-02-24 07:40:00,,,,
bfly,2021-02-24 08:00:00,49890.34,50410.65,49890.34,50410.65
bfly,2021-02-24 08:20:00,50726.45,50726.45,50726.45,50726.45
bfly,2021-02-24 08:40:00,,,,
bfly,2021-02-24 09:00:00,50890.43,50890.43,50890.43,50890.43
bfly,2021-02-24 09:20:00,50900.0,50907.35,50846.85,50846.85
bfly,2021-02-24 09:40:00,,,,
bfly,2021-02-24 10:00:00,,,,
bfly,2021-02-24 10:20:00,50544.26,50544.26,50486.11,50486.11
bfly,2021-02-24 10:40:00,,,,
bfly,2021-02-24 11:00:00,50500.0,50500.0,50500.0,50500.0
bfly,2021-02-24 11:20:00,50436.16,50702.08,50436.16,50702.08
bfly,2021-02-24 11:40:00,,,,
bfly,2021-02-24 12:00:00,,,,
bfly,2021-02-24 12:20:00,51078.18,51229.87,51078.18,51229.87
bfly,2021-02-24 12:40:00,,,,
bfly,2021-02-24 13:00:00,50500.0,50500.0,49830.23,49839.99
bfly,2021-02-24 13:20:00,49560.79,49560.79,48978.31,49206.42
